cluster_id,num_users,num_reviews,num_products,avg_reviews_per_user,clustering_coefficient
0,1916,2739,271,1.4295407098121085,0.9188473207896186
1,585,663,40,1.1333333333333333,0.972916623171654
2,563,661,61,1.1740674955595027,0.9657347945212594
3,550,602,24,1.0945454545454545,0.9927962154001759
4,548,602,34,1.0985401459854014,0.9998998666066373
5,455,491,27,1.079120879120879,0.98591574523746
6,402,410,9,1.0199004975124377,0.9997366276794715
7,395,438,21,1.1088607594936708,0.968797854554044
8,371,381,9,1.0269541778975741,0.996574304881236
9,366,383,13,1.046448087431694,0.9847633750556579
10,335,361,23,1.0776119402985074,0.9949752119894412
11,242,276,22,1.140495867768595,0.9949751553700716
12,218,224,6,1.0275229357798166,0.9965025875434949
13,213,215,3,1.0093896713615023,1.0
14,196,207,9,1.0561224489795917,0.9934346304478713
15,166,171,5,1.0301204819277108,0.9954371810968932
16,93,96,4,1.032258064516129,0.9981123807597668
17,78,80,3,1.0256410256410255,0.9926949611901429
18,74,74,1,1.0,1.0
19,66,67,2,1.0151515151515151,1.0
20,64,65,2,1.015625,0.9937435995903738
21,62,62,1,1.0,1.0
22,53,53,1,1.0,1.0
23,49,50,2,1.0204081632653061,0.996110146186134
24,33,33,1,1.0,1.0
25,29,30,2,1.0344827586206897,0.9879584017515053
26,26,26,1,1.0,1.0
27,22,22,1,1.0,1.0
28,20,20,1,1.0,1.0
29,18,18,1,1.0,1.0
30,18,18,1,1.0,1.0
31,17,18,2,1.0588235294117647,0.9764705882352942
32,17,17,1,1.0,1.0
33,16,16,1,1.0,1.0
34,14,14,1,1.0,1.0
35,14,14,1,1.0,1.0
36,14,14,1,1.0,1.0
37,14,14,1,1.0,1.0
38,13,13,1,1.0,1.0
39,13,13,1,1.0,1.0
40,12,12,1,1.0,1.0
41,11,11,1,1.0,1.0
42,11,11,1,1.0,1.0
43,11,11,1,1.0,1.0
44,10,10,1,1.0,1.0
45,10,10,1,1.0,1.0
46,10,10,1,1.0,1.0
47,9,9,1,1.0,1.0
48,9,9,1,1.0,1.0
49,8,8,1,1.0,1.0
50,8,8,1,1.0,1.0
51,8,8,1,1.0,1.0
52,7,7,1,1.0,1.0
53,7,7,1,1.0,1.0
54,7,7,1,1.0,1.0
55,7,7,1,1.0,1.0
56,7,7,1,1.0,1.0
57,7,7,1,1.0,1.0
58,7,7,1,1.0,1.0
59,6,6,1,1.0,1.0
60,6,6,1,1.0,1.0
61,6,6,1,1.0,1.0
62,6,6,1,1.0,1.0
63,6,6,1,1.0,1.0
64,6,6,1,1.0,1.0
65,6,6,1,1.0,1.0
66,6,6,1,1.0,1.0
67,6,6,1,1.0,1.0
68,5,5,1,1.0,1.0
69,5,5,1,1.0,1.0
70,5,5,1,1.0,1.0
71,5,5,1,1.0,1.0
72,5,5,1,1.0,1.0
73,5,5,1,1.0,1.0
74,5,5,1,1.0,1.0
75,5,5,1,1.0,1.0
76,5,5,1,1.0,1.0
77,5,5,1,1.0,1.0
78,5,5,1,1.0,1.0
79,5,5,1,1.0,1.0
80,5,5,1,1.0,1.0
81,5,5,1,1.0,1.0
82,5,5,1,1.0,1.0
83,5,5,1,1.0,1.0
84,5,5,1,1.0,1.0
85,5,5,1,1.0,1.0
86,5,5,1,1.0,1.0
87,5,5,1,1.0,1.0
88,5,5,1,1.0,1.0
89,4,4,1,1.0,1.0
